id,sample,q_result,new_q_result,final_q_result,next_yr_ver_q_result
47610,0.12507940888434996,1,,1.0,1
14580,7.2341140012770735,5,,5.0,5
26284,0.46974737351136053,1,,1.0,1
54216,5.761389002533341,4,4.0,4.0,4
14441,3.867969044153672,3,,3.0,3
4776,8.017814374467216,5,,5.0,5
15604,0.9553166225760799,1,1.0,1.0,1
1886,5.898938907283988,4,4.0,4.0,4
1883,0.16613539729038337,1,,1.0,1
25363,0.6606434333728091,1,,1.0,1
44820,1.7261798595476587,2,,2.0,2
8365,2.5490666614477644,3,3.0,3.0,3
26555,0.5719368986052358,1,,1.0,1
23240,0.711721962754317,1,1.0,1.0,1
19487,12.460240639170028,5,,5.0,5
18889,3.0315283904307786,3,,3.0,3
7369,1.521736913815197,2,,2.0,2
32687,5.545013238359131,4,4.0,4.0,4
11453,3.3803339347789465,3,,3.0,3
34856,1.6906347589495792,2,,2.0,2
41669,0.8883136918103836,1,1.0,1.0,1
33740,1.3459226770519546,2,,2.0,2
8508,0.7211989810564949,1,1.0,1.0,1
19321,0.857729922447516,1,1.0,1.0,1
28082,2.8359660492105068,3,,3.0,3
52882,0.7441656162430701,1,1.0,1.0,1
14188,4.134569539180065,3,,3.0,3
27039,2.913702028313367,3,,3.0,3
48019,0.5582386459022207,1,,1.0,1
2147,15.017275882891964,5,,5.0,5
4627,0.671266671144105,1,,1.0,1
15297,4.637438842230293,4,4.0,4.0,4
29284,5.5595780161901756,4,4.0,4.0,4
37324,0.03407651576039659,1,,1.0,1
46657,6.182903847136686,4,4.0,4.0,4
11059,2.0795022966815386,2,,2.0,2
38569,0.5171490856277993,1,,1.0,1
42234,4.0839734356717745,3,,3.0,3
24051,7.127373728168245,5,,5.0,5
20793,1.9290575072144185,2,,2.0,2
10610,0.3668967812030985,1,,1.0,1
11465,4.491042026899499,3,3.0,3.0,3
30087,7.8142066384247615,5,,5.0,5
27177,0.8731562379268684,1,1.0,1.0,1
34546,1.1328836280220165,2,2.0,2.0,2
15686,0.693342079161804,1,,1.0,1
37677,6.183722992210665,4,4.0,4.0,4
4533,1.4129110148494595,2,,2.0,2
50597,1.0815730120184406,2,2.0,2.0,2
42789,0.01966239763098918,1,,1.0,1
43882,0.11454807083602585,1,,1.0,1
25777,0.3695505675622673,1,,1.0,1
31715,4.5173570973757915,4,4.0,4.0,4
46375,2.304065237884659,2,2.0,2.0,2
10935,0.2449656933046808,1,,1.0,1
54117,0.7128412752354056,1,1.0,1.0,1
25348,0.775090379374252,1,1.0,1.0,1
55414,6.00589090083995,4,4.0,4.0,4
26171,1.753628113014702,2,,2.0,2
27850,4.437570094238324,3,3.0,3.0,3
39140,1.7615192383454283,2,,2.0,2
36139,1.078656668767105,2,2.0,2.0,2
6695,2.5885976919142153,3,3.0,3.0,3
23391,1.192794729976282,2,2.0,2.0,2
46883,2.3838428064514723,2,2.0,2.0,2
35967,1.6367357876207302,2,,2.0,2
31946,1.6150374699978085,2,,2.0,2
50441,2.704787829761537,3,3.0,3.0,3
18349,14.728475154999462,5,,5.0,5
17222,1.4315772359076049,2,,2.0,2
50027,5.325490600684597,4,,4.0,4
12061,2.6543565934341595,3,3.0,3.0,3
32029,2.5372447858834204,3,3.0,3.0,3
56266,3.0841740865203433,3,,3.0,3
55720,2.7215566675967815,3,3.0,3.0,3
1556,0.9234254075468183,1,1.0,1.0,1
46398,1.2358947029016907,2,2.0,2.0,2
25737,1.2880598971555481,2,2.0,2.0,2
26702,9.583897422471654,5,,5.0,5
42045,2.2521493547671607,2,2.0,2.0,2
13564,0.36221818519610544,1,,1.0,1
49022,3.100704864327246,3,,3.0,3
30574,0.14655958960460644,1,,1.0,1
37629,1.5334880452224933,2,,2.0,2
29945,2.7807075191656248,3,3.0,3.0,3
20414,0.7705544360330723,1,1.0,1.0,1
11772,2.8078139755191036,3,,3.0,3
9102,1.58896666945608,2,,2.0,2
15642,2.2757174502640956,2,2.0,2.0,2
25937,0.07567690279581146,1,,1.0,1
21480,0.14218788315989117,1,,1.0,1
54661,0.8103779345458516,1,1.0,1.0,1
30949,0.7079886168424454,1,1.0,1.0,1
25076,0.5025402114733284,1,,1.0,1
1678,2.27095581723114,2,2.0,2.0,2
41434,2.7584364183353265,3,3.0,3.0,3
46300,0.18230515248879353,1,,1.0,1
35815,0.18469362914320075,1,,1.0,1
56641,1.8453311204857206,2,,2.0,2
16536,0.5759876838870649,1,,1.0,1
28424,3.326349524265715,3,,3.0,3
24021,3.755582512450288,3,,3.0,3
10732,2.284988776965309,2,2.0,2.0,2
19535,2.0889254654839577,2,,2.0,2
32612,1.389783567780356,2,,2.0,2
55415,2.7012903237838692,3,3.0,3.0,3
50970,0.8426623492252315,1,1.0,1.0,1
53355,4.2038852471826855,3,3.0,3.0,3
54620,2.042682381393312,2,,2.0,2
6081,0.996574431844986,1,1.0,1.0,1
47121,2.7537086782382265,3,3.0,3.0,3
28750,1.769382073776631,2,,2.0,2
26951,0.6265564195852942,1,,1.0,1
8786,5.630165523265655,4,4.0,4.0,4
13229,5.092611679498499,4,,4.0,4
33970,1.1736909339374593,2,2.0,2.0,2
432,0.17848698708705482,1,,1.0,1
16240,2.1266302774446117,2,,2.0,2
34541,0.2563035231169468,1,,1.0,1
23521,4.7455396136426815,4,4.0,4.0,4
42783,0.7177246974611908,1,1.0,1.0,1
21160,2.6790076650108094,3,3.0,3.0,3
26553,0.11414268732022018,1,,1.0,1
36755,3.6467711621081693,3,,3.0,3
46989,3.6348021016506844,3,,3.0,3
46585,1.9731585293813545,2,,2.0,2
6132,0.35846109240068924,1,,1.0,1
15383,3.2996741816673407,3,,3.0,3
40377,2.0533155474105147,2,,2.0,2
46925,2.2166320527480923,2,2.0,2.0,2
44884,2.5470715667416726,3,3.0,3.0,3
41131,3.152657566765098,3,,3.0,3
26891,3.3682477343446218,3,,3.0,3
55587,1.0367943395148802,2,2.0,2.0,2
52313,2.2551551429949743,2,2.0,2.0,2
45478,9.091169810902661,5,,5.0,5
10760,1.5000539857128738,2,,2.0,2
4327,0.4301941212642682,1,,1.0,1
31316,3.1533499159621385,3,,3.0,3
29747,0.9315443767756025,1,1.0,1.0,1
12120,8.474789874588309,5,,5.0,5
16553,2.4940662695963995,2,2.0,2.0,2
23855,1.4510182803660396,2,,2.0,2
30886,1.2921621948844382,2,2.0,2.0,2
36734,6.741811482511142,5,5.0,5.0,5
42853,0.8393064204908609,1,1.0,1.0,1
1562,4.973470391304484,4,,4.0,4
43384,7.104268089938706,5,,5.0,5
29877,0.06409618024382768,1,,1.0,1
19693,4.108579954621623,3,,3.0,3
17184,2.8509751373216727,3,,3.0,3
34939,11.700066034653121,5,,5.0,5
22960,9.177638824918397,5,,5.0,5
17077,1.4279594286796955,2,,2.0,2
11742,1.4423074139666103,2,,2.0,2
15886,1.1875448147240595,2,2.0,2.0,2
23749,2.201470971121936,2,2.0,2.0,2
4822,4.458581229231573,3,3.0,3.0,3
52050,1.2512788187973232,2,2.0,2.0,2
3978,3.3399033360951007,3,,3.0,3
54248,1.0250583788411374,2,2.0,2.0,2
33547,1.1737640859826521,2,2.0,2.0,2
39469,2.809076721779796,3,,3.0,3
48562,4.262721133963592,3,3.0,3.0,3
44505,3.469912293980161,3,,3.0,3
28094,0.7953529098453689,1,1.0,1.0,1
13358,6.299398407685088,4,4.0,4.0,4
54923,0.7721298734918484,1,1.0,1.0,1
44684,4.353554505124566,3,3.0,3.0,3
34573,0.6119259717313509,1,,1.0,1
43237,3.724028781692409,3,,3.0,3
2243,2.486858437827747,2,2.0,2.0,2
35914,1.2447572813309988,2,2.0,2.0,2
25539,0.6995208897556633,1,,1.0,1
48978,5.362894753194412,4,,4.0,4
50241,1.2745065037513879,2,2.0,2.0,2
34925,2.0331267588904605,2,,2.0,2
11487,0.9038208878502038,1,1.0,1.0,1
41889,0.47574402044115444,1,,1.0,1
5924,5.978263729678325,4,4.0,4.0,4
19325,9.823564947333052,5,,5.0,5
12877,0.62474324839559,1,,1.0,1
4105,1.5566798122220769,2,,2.0,2
15851,2.3145683548508384,2,2.0,2.0,2
37430,4.929271906003289,4,,4.0,4
30124,3.2751550976517865,3,,3.0,3
11964,2.048406033060013,2,,2.0,2
56244,9.86525393679618,5,,5.0,5
36353,0.9880869284322183,1,1.0,1.0,1
32824,1.6786400319945227,2,,2.0,2
39932,4.989931971897007,4,,4.0,4
47872,1.6280846511391982,2,,2.0,2
27761,2.310917332750525,2,2.0,2.0,2
55338,1.7568722782074535,2,,2.0,2
53017,0.3522925631275294,1,,1.0,1
42685,1.7043440198641815,2,,2.0,2
18579,14.701915713689603,5,,5.0,5
54545,0.25186727782954527,1,,1.0,1
36312,2.05066192086177,2,,2.0,2
3487,8.958502773303294,5,,5.0,5
26667,8.80527232627063,5,,5.0,5
17050,1.5775412118030545,2,,2.0,2
30270,3.3716506705934424,3,,3.0,3
10258,11.219066889160867,5,,5.0,5
24755,0.7663927320816349,1,1.0,1.0,1
23317,0.8410371074246435,1,1.0,1.0,1
18738,3.8603480300908246,3,,3.0,3
19522,3.3203880599946096,3,,3.0,3
374,2.0280728327474296,2,,2.0,2
35787,1.3907526216348531,2,,2.0,2
35738,0.14452001107349377,1,,1.0,1
53716,14.011621869315503,5,,5.0,5
12217,0.2500878711075439,1,,1.0,1
17830,0.016598400647014608,1,,1.0,1
47745,0.3120742304153755,1,,1.0,1
15277,0.12983775784252502,1,,1.0,1
20412,2.2931304378791437,2,2.0,2.0,2
51657,0.09984179509510085,1,,1.0,1
36491,3.1311023060087115,3,,3.0,3
7735,2.998220285429538,3,,3.0,3
55211,4.778628705598232,4,4.0,4.0,4
42277,2.848591107574887,3,,3.0,3
18614,0.2577391900509301,1,,1.0,1
490,4.469167715704851,3,3.0,3.0,3
8917,1.5242103664849842,2,,2.0,2
25366,2.1539994232995108,2,,2.0,2
8874,9.804147403519634,5,,5.0,5
48609,4.1739114641913435,3,,3.0,3
47445,1.901630608466193,2,,2.0,2
50922,1.5757083882035998,2,,2.0,2
10218,1.446669832166034,2,,2.0,2
826,2.291619258529295,2,2.0,2.0,2
6024,7.482601463393497,5,,5.0,5
10881,5.815782318188509,4,4.0,4.0,4
14268,1.8152149060190288,2,,2.0,2
59,2.2011040931470407,2,2.0,2.0,2
31983,5.358412205188268,4,,4.0,4
15635,1.4925094078742145,2,,2.0,2
8003,10.654109089669394,5,,5.0,5
4276,0.8624766676334876,1,1.0,1.0,1
12145,2.163674855212836,2,,2.0,2
53816,1.2728281018179268,2,2.0,2.0,2
30671,2.8218206777755515,3,,3.0,3
16934,3.7431395545687485,3,,3.0,3
55089,1.9764658993734363,2,,2.0,2
43250,1.8989122157855123,2,,2.0,2
17081,1.6100534943866485,2,,2.0,2
29785,1.720281820577806,2,,2.0,2
5743,0.00959401681990746,1,,1.0,1
32607,8.278991125100527,5,,5.0,5
36361,1.494896243412164,2,,2.0,2
15668,2.104904188573121,2,,2.0,2
32929,17.197003923125717,5,,5.0,5
34072,1.290022467582377,2,2.0,2.0,2
21646,3.5613074886712264,3,,3.0,3
55375,3.219307874435903,3,,3.0,3
10364,1.0466728717706177,2,2.0,2.0,2
33407,0.2503551227573353,1,,1.0,1
38070,3.4428225286440655,3,,3.0,3
21263,8.307113871562738,5,,5.0,5
56142,7.426683711953044,5,,5.0,5
44172,5.328643003030618,4,,4.0,4
55919,3.618477221957251,3,,3.0,3
37580,5.932758440482832,4,4.0,4.0,4
31784,0.6892080521675016,1,,1.0,1
47511,2.6938171807590163,3,3.0,3.0,3
20880,3.5206894781530034,3,,3.0,3
3578,2.2882723306624415,2,2.0,2.0,2
11920,5.270113330491472,4,,4.0,4
45410,2.231369725270558,2,2.0,2.0,2
12889,0.11712116483772207,1,,1.0,1
39793,1.0911732125967912,2,2.0,2.0,2
18322,10.66499161184077,5,,5.0,5
31157,1.8649049438993857,2,,2.0,2
48745,11.532744836005039,5,,5.0,5
31841,0.4709628757144643,1,,1.0,1
23621,0.11923881213884413,1,,1.0,1
46333,1.798913958952349,2,,2.0,2
14080,5.677981298855554,4,4.0,4.0,4
4778,0.20944583588073346,1,,1.0,1
45903,3.995511025620794,3,,3.0,3
2026,5.60435487186636,4,4.0,4.0,4
48301,3.230161398679763,3,,3.0,3
46866,0.025999790585357445,1,,1.0,1
1885,5.774683840839696,4,4.0,4.0,4
7547,4.926559287724056,4,,4.0,4
40914,5.072944157669906,4,,4.0,4
45693,1.2828552218288294,2,2.0,2.0,2
21277,1.5130877583947915,2,,2.0,2
22473,2.0216268772070682,2,,2.0,2
15723,6.070227745859807,4,4.0,4.0,4
49142,0.20441351497705043,1,,1.0,1
34675,1.712165788572941,2,,2.0,2
1718,0.47922543125376255,1,,1.0,1
26507,0.7617522235269093,1,1.0,1.0,1
33208,1.6371306755862474,2,,2.0,2
53125,1.274686979005117,2,2.0,2.0,2
22067,4.069812792464056,3,,3.0,3
50380,4.402411186665485,3,3.0,3.0,3
27615,8.542911753270802,5,,5.0,5
14567,7.459302347170606,5,,5.0,5
21243,5.30000319624861,4,,4.0,4
9349,5.492171605259025,4,,4.0,4
35406,4.3003665996467815,3,3.0,3.0,3
402,2.6204369256014184,3,3.0,3.0,3
6931,3.080758190418098,3,,3.0,3
15586,2.0922936013911673,2,,2.0,2
41018,7.194133096004144,5,,5.0,5
32139,2.079369016871939,2,,2.0,2
48236,0.6199293695864166,1,,1.0,1
33691,2.6059082686592947,3,3.0,3.0,3
10028,2.5631578545531966,3,3.0,3.0,3
29173,2.804730763466048,3,,3.0,3
53264,2.543189072939439,3,3.0,3.0,3
26130,0.3819960979246825,1,,1.0,1
21645,0.23022007799138886,1,,1.0,1
47804,0.17098784425099553,1,,1.0,1
15622,3.527264356621691,3,,3.0,3
37841,0.6210026924891646,1,,1.0,1
52716,2.1663144101613705,2,,2.0,2
8895,4.487360659083956,3,3.0,3.0,3
35734,3.678750244828937,3,,3.0,3
1683,3.2008558246461916,3,,3.0,3
9353,3.2640832020623796,3,,3.0,3
4893,1.5787788625847023,2,,2.0,2
42527,0.2881036780753913,1,,1.0,1
11713,1.6744416912317217,2,,2.0,2
24927,0.2661453461532408,1,,1.0,1
22270,1.6119804699719478,2,,2.0,2
2911,3.2583663905772147,3,,3.0,3
47248,1.0862024842256892,2,2.0,2.0,2
49203,0.30590461461859547,1,,1.0,1
54957,1.3706622436218316,2,,2.0,2
7412,5.728895425454551,4,4.0,4.0,4
7892,0.5772635209987541,1,,1.0,1
4974,6.501685739409191,5,5.0,5.0,5
45057,3.6251614000222787,3,,3.0,3
11513,3.2074101491342217,3,,3.0,3
16074,0.08598923819236673,1,,1.0,1
17652,3.5187680117103497,3,,3.0,3
24749,4.35088480086732,3,3.0,3.0,3
47343,0.5903843837100015,1,,1.0,1
19106,4.514283061311276,4,4.0,4.0,4
20061,0.13020340070941977,1,,1.0,1
29150,0.109939768425563,1,,1.0,1
31214,3.9944515764692934,3,,3.0,3
27081,1.8264418384135324,2,,2.0,2
53907,3.3340916242642917,3,,3.0,3
14163,0.9629122812737025,1,1.0,1.0,1
10117,12.864968046851974,5,,5.0,5
35585,3.6667345313818074,3,,3.0,3
36567,0.257564705648999,1,,1.0,1
11085,3.7751410301065396,3,,3.0,3
31880,0.0283557410149243,1,,1.0,1
6539,6.812815506045776,5,5.0,5.0,5
1954,1.3394803817104333,2,,2.0,2
1238,6.977086500669288,5,5.0,5.0,5
25318,1.0093051334645504,2,2.0,2.0,2
43341,0.7436009712526959,1,1.0,1.0,1
35906,10.133637836083173,5,,5.0,5
2616,11.517989590349684,5,,5.0,5
41855,3.645880194261066,3,,3.0,3
171,1.5068682633052162,2,,2.0,2
3623,1.2823475095336858,2,2.0,2.0,2
29215,0.04451722065423012,1,,1.0,1
50059,5.694457522462936,4,4.0,4.0,4
32291,2.307683380191014,2,2.0,2.0,2
27461,0.22226561189549396,1,,1.0,1
42529,1.0419726754298089,2,2.0,2.0,2
18133,1.7810236696464588,2,,2.0,2
42611,3.606044722568655,3,,3.0,3
30175,0.9194356183796103,1,1.0,1.0,1
50138,0.8784394841562326,1,1.0,1.0,1
12591,1.7980676723212994,2,,2.0,2
21852,4.623575130793904,4,4.0,4.0,4
43567,1.3347782153508658,2,,2.0,2
11334,0.5368553191488277,1,,1.0,1
56197,0.8924878587172891,1,1.0,1.0,1
52168,0.36380718019223135,1,,1.0,1
32854,6.586452115888903,5,5.0,5.0,5
19865,7.300620719426326,5,,5.0,5
5787,0.849650067218619,1,1.0,1.0,1
54487,0.2791975483372051,1,,1.0,1
51358,0.8401203578960519,1,1.0,1.0,1
16818,3.1214936071314625,3,,3.0,3
54280,0.1291066340860131,1,,1.0,1
13076,4.035868051128026,3,,3.0,3
17191,3.6389573175667334,3,,3.0,3
12394,0.39308563149476944,1,,1.0,1
4651,2.1524333128728053,2,,2.0,2
7054,3.284222415450614,3,,3.0,3
69,5.340108945484566,4,,4.0,4
53704,0.8621709651480893,1,1.0,1.0,1
54958,0.9786425667884137,1,1.0,1.0,1
9957,4.200310431012265,3,3.0,3.0,3
11254,3.1395422750570328,3,,3.0,3
54745,0.18644221204829628,1,,1.0,1
38047,5.044570113677293,4,,4.0,4
4011,2.9354270594251126,3,,3.0,3
17413,2.2390751638774473,2,2.0,2.0,2
24143,0.8655018616879727,1,1.0,1.0,1
21274,5.9736448096595005,4,4.0,4.0,4
20024,2.22310685590448,2,2.0,2.0,2
5729,3.779828299263993,3,,3.0,3
19020,5.12128128995883,4,,4.0,4
20919,10.796828004880334,5,,5.0,5
54408,0.4589303757610266,1,,1.0,1
51049,0.45148648501083033,1,,1.0,1
45044,0.6278805850369549,1,,1.0,1
26002,1.4346778260416888,2,,2.0,2
43353,6.959322821610895,5,5.0,5.0,5
32181,1.1901657451423033,2,2.0,2.0,2
20441,0.9902169057353885,1,1.0,1.0,1
1696,0.8719282733733895,1,1.0,1.0,1
339,5.071275288268229,4,,4.0,4
37798,7.215248936966386,5,,5.0,5
47800,3.4406448519120785,3,,3.0,3
40469,1.0942622255395993,2,2.0,2.0,2
12869,5.794347737808306,4,4.0,4.0,4
49217,2.546007820802329,3,3.0,3.0,3
17238,0.03908773881276426,1,,1.0,1
51301,0.4871151800518833,1,,1.0,1
42831,3.4872984607080544,3,,3.0,3
42190,1.5580094873952548,2,,2.0,2
16603,0.09404840107899733,1,,1.0,1
13773,0.32287840846314864,1,,1.0,1
38862,3.859295368976994,3,,3.0,3
50102,0.5508850736193219,1,,1.0,1
46476,5.990053804427584,4,4.0,4.0,4
50261,1.5311166825058535,2,,2.0,2
27275,2.2282745510224,2,2.0,2.0,2
3690,5.729025206746701,4,4.0,4.0,4
49964,1.2913292409134103,2,2.0,2.0,2
13008,3.1140876125267787,3,,3.0,3
23373,0.6211944308960761,1,,1.0,1
42703,5.195085468005757,4,,4.0,4
29474,3.0814747801153204,3,,3.0,3
7497,5.052325402583977,4,,4.0,4
37616,0.619818036813133,1,,1.0,1
56042,1.3026502747816469,2,,2.0,2
18119,1.165425061184667,2,2.0,2.0,2
7603,3.838596064923812,3,,3.0,3
11099,0.014043403769290362,1,,1.0,1
9821,0.4494629186571565,1,,1.0,1
24404,1.0347222113537295,2,2.0,2.0,2
24001,3.9156719088380596,3,,3.0,3
10070,0.2237365380789715,1,,1.0,1
54083,1.5171830312079857,2,,2.0,2
35979,0.0748108963370524,1,,1.0,1
16971,0.9157970483423217,1,1.0,1.0,1
48909,4.068761731015036,3,,3.0,3
49154,5.431954938313659,4,,4.0,4
14355,1.085697126533719,2,2.0,2.0,2
21642,1.1513822982992963,2,2.0,2.0,2
22435,0.47792968603666813,1,,1.0,1
7933,3.2169713003077764,3,,3.0,3
19756,0.47928224654689866,1,,1.0,1
28402,0.5687421679368184,1,,1.0,1
29578,2.404996401743256,2,2.0,2.0,2
42033,1.5866680132060151,2,,2.0,2
1029,1.0997666312059908,2,2.0,2.0,2
34802,1.4311636742392906,2,,2.0,2
37940,0.1855984026448435,1,,1.0,1
1888,0.3815838988992356,1,,1.0,1
34192,4.196169776401276,3,,3.0,3
5910,1.5206597590821382,2,,2.0,2
45752,1.2254918521137985,2,2.0,2.0,2
34988,6.494868916068775,4,4.0,4.0,4
1407,0.15572911203016182,1,,1.0,1
1165,11.674812633140249,5,,5.0,5
19097,1.2889760073513146,2,2.0,2.0,2
12293,0.9872115413460791,1,1.0,1.0,1
21488,3.123973826687792,3,,3.0,3
42599,0.21153225225708205,1,,1.0,1
43528,0.7257652194292058,1,1.0,1.0,1
